,data,label
0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 3, 7, 2, 4, 0, 0, 0, 0, 4, 7, 5, 4, 0, 0, 0, 0, 1, 8, 9, 3, 0, 0, 0, 0, 2, 8, 2, 2, 0, 0, 1, 9, 6, 2, 1, 0, 0, 0, 5, 8, 9, 8, 5, 2, 0, 0]",2
1,"[0, 0, 3, 8, 6, 2, 0, 0, 0, 0, 7, 2, 6, 4, 0, 0, 0, 0, 5, 8, 10, 2, 0, 0, 0, 0, 2, 11, 0, 3, 0, 0, 0, 0, 3, 5, 3, 2, 0, 0, 0, 2, 10, 8, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
2,"[1, 4, 3, 3, 0, 0, 0, 0, 1, 6, 3, 4, 0, 0, 0, 0, 1, 3, 8, 5, 0, 0, 0, 0, 3, 5, 8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
3,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 6, 7, 3, 1, 0, 0, 0, 0, 5, 5, 3, 2, 0, 0, 0, 0, 3, 8, 1, 0, 0, 0, 0, 0, 4, 6, 1, 2, 0, 0, 0, 0, 6, 1, 3, 5, 0, 0, 3, 6, 10, 10, 5, 6, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0]",2
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10, 5, 0, 0, 0, 0, 2, 5, 6, 2, 0, 0, 0, 0, 6, 5, 8, 8, 6, 4, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
5,"[0, 0, 3, 7, 7, 3, 0, 0, 0, 0, 7, 8, 9, 4, 0, 0, 0, 1, 7, 7, 0, 1, 0, 0, 0, 5, 8, 5, 9, 1, 0, 0, 0, 4, 9, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
6,"[0, 0, 1, 3, 2, 1, 0, 0, 0, 0, 1, 4, 6, 6, 0, 0, 0, 3, 3, 6, 4, 2, 0, 0, 4, 10, 8, 4, 3, 5, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
7,"[0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0, 0, 0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 8, 6, 9, 5, 0, 0, 0, 0, 6, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 3, 3, 0, 0, 0, 0, 3, 7, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
9,"[0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 3, 2, 6, 0, 0, 1, 3, 1, 4, 3, 6, 0, 0, 3, 8, 6, 4, 6, 6, 0, 0, 7, 4, 9, 4, 1, 2, 0, 0, 2, 5, 9, 4, 0, 6, 0, 0, 0, 2, 7, 5, 4, 5, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0]",2
